chamber,gender,role,id,first_name,middle_name,last_name,image_url,date_of_birth,issue,name,party,state,district,url,statement_status,full_statement,summarized_statement,position,statement_date,statement_type,statement_url,who_reported_this
house of representatives,M,Representative,C001110,J.,Luis,Correa,,1/24/58,refugee ban,J. Luis Correa,D,CA,46,https://correa.house.gov,TRUE,#Muslim refugees detained at LAX. This is un-American. No #MuslimBan #lax #NoBanNoWall,NULL,Oppose,1/28/17,tweet,https://twitter.com/RepLouCorrea/status/825566011529232386,Chris Keller/KPCC
house of representatives,M,Representative,L000579,Alan,,Lowenthal,https://theunitedstates.io/images/congress/450x550/L000579.jpg,3/8/41,refugee ban,Alan Lowenthal,D,CA,47,http://lowenthal.house.gov,TRUE,"I condemn in the strongest terms the President's executive order banning refugees and the citizens of Muslim nations. This ban, whether temporary or not, is shameful, wholly un-American at its core, and as written, unconstitutional. The history of our nation is one written by the refugee and the immigrant; people across the globe who fled religious persecution, war, famine, and poverty. People seeking a better life - one based not in fear, but in freedom and liberty. They chose America, which has long endured as the shining beacon on the hill. Sadly, that light was dimmed this weekend by the President's immigration executive order. This ban also makes Americans both here and abroad less safe by perpetuating the false narrative that America hates Islam as a religion. It is the duty of the government to protect our nation and our people, but there are ways to do this that are effective, rational, humane, and constitutional. We, as a nation, have done it before. In the 1970s and 1980s, thousands of my constituents fled the horrors of war and genocide in Vietnam and Cambodia as refugees. Today, these immigrants and their children are doctors, teachers, parents, student'all integral parts of our nation. They are here because American presidents Ford, Carter, and Reagan stood up and did the right thing. Today, we must stand and fight for those same American values that welcome refugees to our country and recognize that our nation is great because it is built by refugees and immigrants from every part of the world. Martin Niemiller warned us in his famous quote ""First they came for"" about the dangers of remaining silent when others are persecuted. I refuse to be silent. I will not shy away from what I see as a fight for the basic fundamentals of what this country stands for: freedom, equality, and moral compassion. I will do everything in my power to fight against this unconstitutional, un-American ban on refuges and citizens of Muslim nations.",NULL,Oppose,1/30/17,news release,http://lowenthal.house.gov/news/documentsingle.aspx?DocumentID=398805,Chris Keller/KPCC
house of representatives,M,Representative,R000409,Dana,,Rohrabacher,https://theunitedstates.io/images/congress/450x550/R000409.jpg,6/21/47,refugee ban,Dana Rohrabacher,R,CA,48,https://rohrabacher.house.gov,FALSE,No Statement,NULL,,,,,Chris Keller/KPCC
house of representatives,M,Representative,I000056,Darrell,,Issa,https://theunitedstates.io/images/congress/450x550/I000056.jpg,11/1/53,refugee ban,Darrell Issa,R,CA,49,https://issa.house.gov,TRUE,"America is a nation of immigrants. Our country has been built by the hard work of those who've come here for liberty and to find hope in a land of opportunity. A welcoming America is not incompatible with a strong and secure America.  We can put in place a vetting process that the American people have confidence in. To do so, the Congress must work with the administration to swiftly reestablish strong and clear screening procedures so that our rich tradition of immigration is not permanently threatened by those who wish us harm.",NULL,Non-committal,1/30/17,news release,https://issa.house.gov/news-room/press-releases/issa-statement-presidents-executive-order-immigration,Chris Keller/KPCC
house of representatives,M,Representative,H001048,Duncan,D.,Hunter,https://theunitedstates.io/images/congress/450x550/H001048.jpg,12/7/76,refugee ban,Duncan D. Hunter,R,CA,50,https://hunter.house.gov,FALSE,No Statement,NULL,,,,,Chris Keller/KPCC
house of representatives,M,Representative,V000130,Juan,,Vargas,https://theunitedstates.io/images/congress/450x550/V000130.jpg,3/7/61,refugee ban,Juan Vargas,D,CA,51,http://vargas.house.gov,TRUE,Turning our backs on those who are seeking help is un-American. We are better than this. #MuslimBan,NULL,Oppose,1/28/17,tweet,https://twitter.com/RepJuanVargas/status/825483372764004352,Chris Keller/KPCC
house of representatives,M,Representative,P000608,Scott,,Peters,https://theunitedstates.io/images/congress/450x550/P000608.jpg,6/17/58,refugee ban,Scott Peters,D,CA,52,http://scottpeters.house.gov,TRUE,"President Trump's order to shut the door on families fleeing violence and oppression betrays our values as Americans. So-called ""extreme-vetting"" has always been cover for policies based in fear and discrimination, particularly towards Muslims. Our rigorous vetting processes, which often take years to complete even for women and children, are the reason we don't have to choose between security and being a haven for those seeking freedom and prosperity in America. Refusing to accept refugees from Syria and blocking entry to interpreters who helped us in Iraq gives terrorist groups like ISIS exactly what they want, and will set us back in our efforts to bring peace and stability to the region. Barring legal travel from Muslim nations does nothing to make us safer and is unbelievably cruel to the students, scientists, and families who are building lives here and contributing to the fabric of our nation. This provision, as well as the suspension of the Visa Interview Waiver Program, open us up to retaliation from other countries that will divide families and wreak havoc on businesses and universities. Immigrants and refugees have made America into what it is today, and closing our doors to them diminishes our role as a global force for peace and robs us of talented individuals that make our nation stronger and more prosperous. I have to believe that many of my Republican colleagues know how wrong this is and how it will hurt our national security and our economy. I call on them to do the right thing - the courageous thing - and work with us to unwind this disastrous order.",NULL,Oppose,1/28/17,news release,https://scottpeters.house.gov/media-center/press-releases/rep-peters-vows-to-fight-trump-refugee-order,Chris Keller/KPCC
house of representatives,F,Representative,D000598,Susan,A.,Davis,https://theunitedstates.io/images/congress/450x550/D000598.jpg,4/13/44,refugee ban,Susan A. Davis,D,CA,53,https://susandavis.house.gov,TRUE,"Federal courts have rightly stayed President Trump's unconstitutional executive order banning Muslims and refugees. Immigration officials need to follow and respect the rule of the federal judges and allow those being held to have access to attorneys. The right of habeas corpus is a bedrock of our democracy. Congress needs to take immediate action to repeal Trump's Executive Order. The Muslim ban is a policy based on fear not strength.  This order will do nothing to keep us safe. If anything, it will likely have the opposite effect. This executive order will also reduce the stature and influence America will have globally. America has always been a beacon of hope and freedom around the world. This executive order slams the door on those seeking refuge from violence and oppression and runs contrary to the values that have defined America for generations. We already have one of the most stringent and thorough screening processes for vetting refugees, taking years to complete.",NULL,Oppose,1/29/17,news release,https://susandavis.house.gov/media-center/press-releases/rep-susan-davis-calls-for-repeal-of-trump-order-targeting-muslims-and,Chris Keller/KPCC
senate,F,"Senator, 1st Class",F000062,Dianne,,Feinstein,https://theunitedstates.io/images/congress/450x550/F000062.jpg,6/22/33,refugee ban,Dianne Feinstein,D,CA,,http://www.feinstein.senate.gov,TRUE,"Under the president's executive order, Syrian refugees can only come to this country if they are Christian - regardless of the level of persecution or need. To me, this an unbelievable action. It's one thing to see that an individual is properly vetted. It's an entirely different matter to say that because someone comes from a particular country or is a member of a particular faith that he or she has no access to this country. Let us recall the images of the body of Alan Kurdi, a 3-year-old Syrian boy, washed up on a beach and remember the staggering human toll of this crisis. There is no legitimate national security reason to ban refugee - the vast majority of whom are women and children who have experienced absolute horror. Also shocking is that relatives of American families from Iran, Syria, Iraq, Sudan, Somalia, Libya and Yemen can't even visit the United States. I very much regret that the president has chosen this dark path for our country.",NULL,Oppose,1/27/17,news release,https://www.feinstein.senate.gov/public/index.cfm/press-releases?id=486A64F3-3417-4FD8-8B80-234A792FF9D0,Chris Keller/KPCC
senate,F,"Senator, 3rd Class",H001075,Kamala,,Harris,https://theunitedstates.io/images/congress/450x550/H001075.jpg,10/20/64,refugee ban,Kamala Harris,D,CA,,https://www.harris.senate.gov/,TRUE,"Make no mistake - this is a Muslim ban. Broad brush discrimination against refugees and immigrants from Muslim-majority countries, most of whom are women and children, runs counter to our national security interests, and will likely be used as a terrorist recruitment tool. Opening our doors to those fleeing war and oppression has been the policy of presidents of both parties for decades. This moral leadership enhances our ability to shape world events, promotes global stability, and makes us stronger at home. Whether it's a small business owner in Sacramento employing fellow Californians or a student in Los Angeles completing cutting edge research, refugees are contributing to our country and our economy. They enrich our communities; they do not make us less safe.",NULL,Oppose,1/27/17,news release,https://www.harris.senate.gov/content/us-senator-kamala-harris-statement-trump%E2%80%99s-muslim-ban,Chris Keller/KPCC
